longitude,latitude,toll_name,geo_state
71.0157556,22.4092632,Bamanbore Toll Plaza,Gujarat
71.08863844,22.42317506,Bamanbore Toll Gate,Gujarat
79.4280688,25.357161,Bamhori Kumari Toll Plaza,Uttar Pradesh
76.2231693,28.8047442,Bamla Toll Plaza,Haryana
85.5835585,21.7099103,Banajodi Toll Plaza,Odisha
80.4036,25.5275,Banda Km 50 Toll Plaza,Uttar Pradesh
85.394936,19.922258,Bandalo Toll Plaza,Odisha
78.7566821,14.1311987,Bandapalli Toll Plaza,Andhra Pradesh
78.613207,13.3365388,Bandlapalli Toll Plaza,Andhra Pradesh
76.6083795,15.1520743,Baneti Toll Plaza,Karnataka
77.400019,13.09062,Banglaore-Nelamangala Toll Plaza,Karnataka
75.2797879,14.9100198,Bankapur Toll Plaza,Karnataka
74.9329149,32.8408526,Bann Toll Plaza,Jammu and Kashmir
77.5883892,12.8498184,Bannerghatta Road (P2) Toll Plaza,Karnataka
74.8025278,18.8249746,Banpimpri Toll Plaza,Maharashtra
79.3700104,23.8056518,Bansa (Damoh) Toll Plaza,Madhya Pradesh
87.37668795,23.49124647,Banskopa Toll Plaza,West Bengal
74.3458943,27.2716112,Banthri Toll Plaza,Rajasthan
79.929189,28.932477,Banushi Toll Plaza,Uttarakhand
81.3329581,26.6292559,Bara Toll Plaza,Uttar Pradesh
88.080112,25.6709258,Barai Toll Plaza,West Bengal
80.018171,26.3846762,Barajore Toll Plaza,Uttar Pradesh
78.2723247,26.3200746,Baretha Km 21.120 Toll Plaza,Madhya Pradesh
77.9332208,26.9324687,Baretha Or Jajau Toll Plaza,Uttar Pradesh
82.4900956,24.1456466,Bargawan Rode Toll Plaza,Madhya Pradesh
75.9046644,26.6880973,Barkheda Toll Plaza,Rajasthan
75.8487428,22.8158833,Baroli Toll Plaza,Madhya Pradesh
78.0310781,27.3355095,Baros Toll Plaza,Uttar Pradesh
72.3497016,28.0479447,Barsalpur Toll Plaza,Rajasthan
87.5906404,25.8044766,Barsoni Toll Plaza,Bihar
79.4147041,18.7029673,Basanthnagar Toll Plaza,Telangana
78.8723771,14.7083358,Basapuram Toll Plaza,Andhra Pradesh
79.8432637,27.0735547,Basheerapur Toll Plaza,Uttar Pradesh
76.2089031,29.1263944,Bass Toll Plaza,Haryana
74.8166403,25.0332076,Bassi Toll Plaza,Rajasthan
73.9753353,20.1418666,Baswant Toll Plaza,Maharashtra
77.7966071,14.5001074,Bathalapalli Toll Plaza,Andhra Pradesh
77.9452249,13.2633633,Beechagondanahalli Toll Plaza,Karnataka
76.0273785,24.6426299,Beer Mandi Toll Plaza,Rajasthan
75.8770702,31.2042664,Behram Toll Plaza,Punjab
81.1439514,24.4932481,Bela Toll Plaza,Madhya Pradesh
79.327525,25.076435,Bela Toll Plaza,Madhya Pradesh
74.2935113,14.7104272,Belekeri Toll Plaza,Karnataka
74.2910924,14.7129319,Belekery toll plaza,Karnataka
82.89592895,27.11927055,Belgada Toll Plaza,Uttar Pradesh
86.797826,23.7638714,Beliyad Toll Plaza,Jharkhand
84.6993017,19.1112769,Bellupada Toll Plaza,Andhra Pradesh
